"BehaviorSpace results (NetLogo 6.0.1)"
"Malaria-Spread-Model.nlogo"
"Low-Human-InitPop-Low-Los-InitPop"
"12/10/2019 10:33:26:293 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,,,,,,,,,,,,,"98","32","37","90","11","0"
,,,,,,,,,,,,,"99","32","35","90","11","0"
,,,,,,,,,,,,,"100","32","34","90","11","0"
,,,,,,,,,,,,,"101","32","52","90","11","0"
,,,,,,,,,,,,,"102","32","45","90","11","0"
,,,,,,,,,,,,,"103","32","47","90","11","0"
,,,,,,,,,,,,,"104","32","44","90","11","0"
,,,,,,,,,,,,,"105","32","41","90","11","0"
,,,,,,,,,,,,,"106","32","42","90","11","0"
,,,,,,,,,,,,,"107","32","42","90","11","0"
,,,,,,,,,,,,,"108","32","40","90","11","0"
,,,,,,,,,,,,,"109","32","40","90","11","0"
,,,,,,,,,,,,,"110","32","49","90","11","0"
,,,,,,,,,,,,,"111","32","45","90","11","0"
,,,,,,,,,,,,,"112","32","41","90","11","0"
,,,,,,,,,,,,,"113","32","40","90","11","0"
,,,,,,,,,,,,,"114","32","39","90","11","0"
,,,,,,,,,,,,,"115","32","35","90","11","0"
,,,,,,,,,,,,,"116","32","36","90","11","0"
,,,,,,,,,,,,,"117","32","36","90","11","0"
,,,,,,,,,,,,,"118","32","35","90","11","0"
,,,,,,,,,,,,,"119","32","33","90","11","0"
,,,,,,,,,,,,,"120","32","30","90","11","0"
,,,,,,,,,,,,,"121","32","27","90","11","0"
,,,,,,,,,,,,,"122","32","34","90","11","0"
,,,,,,,,,,,,,"123","32","29","90","11","0"
,,,,,,,,,,,,,"124","32","29","90","11","0"
,,,,,,,,,,,,,"125","32","24","90","11","0"
,,,,,,,,,,,,,"126","32","22","90","11","0"
,,,,,,,,,,,,,"127","32","19","90","11","0"
,,,,,,,,,,,,,"128","32","20","90","11","0"
,,,,,,,,,,,,,"129","32","28","90","11","0"
,,,,,,,,,,,,,"130","32","28","90","11","0"
,,,,,,,,,,,,,"131","32","29","90","11","0"
,,,,,,,,,,,,,"132","32","26","90","11","0"
,,,,,,,,,,,,,"133","32","25","90","11","0"
,,,,,,,,,,,,,"134","32","22","90","11","0"
,,,,,,,,,,,,,"135","32","22","90","11","0"
,,,,,,,,,,,,,"136","32","21","90","11","0"
,,,,,,,,,,,,,"137","32","33","90","11","0"
,,,,,,,,,,,,,"138","32","42","90","11","0"
,,,,,,,,,,,,,"139","32","43","90","11","0"
,,,,,,,,,,,,,"140","32","51","90","11","0"
,,,,,,,,,,,,,"141","32","49","90","11","0"
,,,,,,,,,,,,,"142","32","48","90","11","0"
,,,,,,,,,,,,,"143","32","58","90","11","0"
,,,,,,,,,,,,,"144","32","55","90","11","0"
,,,,,,,,,,,,,"145","32","51","90","11","0"
,,,,,,,,,,,,,"146","32","53","90","11","0"
,,,,,,,,,,,,,"147","32","53","90","11","0"
,,,,,,,,,,,,,"148","32","53","90","11","0"
,,,,,,,,,,,,,"149","32","54","90","11","0"
,,,,,,,,,,,,,"150","32","59","90","11","0"
,,,,,,,,,,,,,"151","32","68","90","11","0"
,,,,,,,,,,,,,"152","32","65","90","11","0"
,,,,,,,,,,,,,"153","32","64","90","11","0"
,,,,,,,,,,,,,"154","32","63","90","11","0"
,,,,,,,,,,,,,"155","32","59","90","11","0"
,,,,,,,,,,,,,"156","32","67","90","11","0"
,,,,,,,,,,,,,"157","32","64","90","11","0"
,,,,,,,,,,,,,"158","32","62","90","11","0"
,,,,,,,,,,,,,"159","32","57","90","11","0"
,,,,,,,,,,,,,"160","32","53","90","11","0"
,,,,,,,,,,,,,"161","32","49","90","11","0"
,,,,,,,,,,,,,"162","32","49","90","11","0"
,,,,,,,,,,,,,"163","32","47","90","11","0"
,,,,,,,,,,,,,"164","32","45","90","11","0"
,,,,,,,,,,,,,"165","32","41","90","11","0"
,,,,,,,,,,,,,"166","32","35","90","11","0"
,,,,,,,,,,,,,"167","32","33","90","11","0"
,,,,,,,,,,,,,"168","32","30","90","11","0"
,,,,,,,,,,,,,"169","32","27","90","11","0"
,,,,,,,,,,,,,"170","32","29","90","11","0"
,,,,,,,,,,,,,"171","32","27","90","11","0"
,,,,,,,,,,,,,"172","32","24","90","11","0"
,,,,,,,,,,,,,"173","32","22","90","11","0"
,,,,,,,,,,,,,"174","32","18","90","11","0"
,,,,,,,,,,,,,"175","32","16","90","11","0"
,,,,,,,,,,,,,"176","32","12","90","11","0"
,,,,,,,,,,,,,"177","32","11","90","11","0"
,,,,,,,,,,,,,"178","32","7","90","11","0"
,,,,,,,,,,,,,"179","32","6","90","11","0"
,,,,,,,,,,,,,"180","32","5","90","11","0"
,,,,,,,,,,,,,"181","32","5","90","11","0"
,,,,,,,,,,,,,"182","32","5","90","11","0"
,,,,,,,,,,,,,"183","32","5","90","11","0"
,,,,,,,,,,,,,"184","32","4","90","11","0"
,,,,,,,,,,,,,"185","32","3","90","11","0"
,,,,,,,,,,,,,"186","32","3","90","11","0"
,,,,,,,,,,,,,"187","32","3","90","11","0"
,,,,,,,,,,,,,"188","32","3","90","11","0"
,,,,,,,,,,,,,"189","32","2","90","11","0"
,,,,,,,,,,,,,"190","32","2","90","11","0"
,,,,,,,,,,,,,"191","32","2","90","11","0"
,,,,,,,,,,,,,"192","32","2","90","11","0"
,,,,,,,,,,,,,"193","32","1","90","11","0"
,,,,,,,,,,,,,"194","32","0","90","11","0"
